Year,Visitors
1934,1952
1935,1468
1936,1353
1937,2067
1938,2797
1939,5203
1940,3744
1941,4953
1942,1148
1943,102
1944,0
1945,409
1946,7430
1947,17018
1948,9365
1949,8301
1950,5943
1951,8344
1952,16458
1953,15731
1954,13400
1955,21400
1956,20200
1957,29500
1958,29100
1959,32000
1960,31700
1961,31400
1962,41200
1963,44000
1964,54900
1965,57400
1966,74500
1967,75000
1968,68200
1969,75100
1970,75500
1971,65800
1972,79570
1973,80500
1974,81600
1975,77900
1976,84200
1977,105000
1978,101107
1979,76921
1980,90198
1981,105448
1982,87417
1983,89412
1984,101578
1985,128650
1986,134767
1987,141749
1988,126635
1989,130950
1990,137316
1991,152329
1992,154782
1993,132277
1994,148372
1995,154688
1996,144634
1997,133115
1998,131058
1999,134834
2000,128960
2001,125330
2002,131215
2003,126363
2004,108948
2005,102318
2006,97395
2007,105321
2008,100481
2009,129595
2010,103462
2011,77146
2012,109300
2013,98259
2014,104348
2015,116444
2016,137275
2017,144537
