Year,Visitors
1941,0
1942,12154
1943,34149
1944,31025
1945,35899
1946,29109
1947,24485
1948,28903
1949,24923
1950,27051
1951,22719
1952,21674
1953,26124
1954,23700
1955,28500
1956,36300
1957,30000
1958,31900
1959,29800
1960,48500
1961,63600
1962,94100
1963,250000
1964,282700
1965,3013800
1966,4616000
1967,2134900
1968,2019800
1969,1993800
1970,1388600
1971,1412400
1972,2495951
1973,3056600
1974,2197200
1975,2191000
1976,3337700
1977,3490600
1978,2654768
1979,1859431
1980,1928825
1981,2282261
1982,2967323
1983,2948022
1984,1709993
1985,2140316
1986,2311147
1987,2364694
1988,2477458
1989,2518712
1990,2382612
1991,2622425
1992,2415514
1993,2539740
1994,2553696
1995,3234977
1996,3649308
1997,3420076
1998,3420352
1999,3481042
2000,3458956
2001,3532524
2002,3333454
2003,2685219
2004,2779350
2005,2944976
2006,2572072
2007,2385387
2008,1954810
2009,2360109
2010,2436110
2011,2259020
2012,2496726
2013,2377258
2014,1817091
2015,1698656
2016,1271855
2017,1398188
