Year,Visitors
1937,2378
1938,15592
1939,24948
1940,37921
1941,25634
1942,32931
1943,53438
1944,43065
1945,36161
1946,70042
1947,49753
1948,56695
1949,53619
1950,55405
1951,57475
1952,59655
1953,61897
1954,52700
1955,53500
1956,121800
1957,133000
1958,220300
1959,354500
1960,473400
1961,417600
1962,378100
1963,518300
1964,555400
1965,270600
1966,131800
1967,167900
1968,205500
1969,191800
1970,264300
1971,260300
1972,354364
1973,200300
1974,204800
1975,259000
1976,269600
1977,291200
1978,294900
1979,193121
1980,271217
1981,375883
1982,377209
1983,535196
1984,849004
1985,713850
1986,838881
1987,1017670
1988,1023819
1989,1025164
1990,948471
1991,875411
1992,913478
1993,957336
1994,903955
1995,943504
1996,849136
1997,852674
1998,835521
1999,874754
2000,878759
2001,923604
2002,699680
2003,631942
2004,595128
2005,429267
2006,264680
2007,303373
2008,339821
2009,335075
2010,391019
2011,420366
2012,419694
2013,400128
2014,445524
2015,405618
2016,438420
2017,456666
