Year,Visitors
1976,74800
1977,106300
1978,122031
1979,90547
1980,101167
1981,111410
1982,106123
1983,109694
1984,101783
1985,101566
1986,103328
1987,117346
1988,126928
1989,134710
1990,98435
1991,103941
1992,111643
1993,131850
1994,114927
1995,128032
1996,120556
1997,113057
1998,99983
1999,99274
2000,100522
2001,98489
2002,114392
2003,108181
2004,117613
2005,124937
2006,119656
2007,124704
2008,112578
2009,130925
2010,135151
2011,148002
2012,148152
2013,156285
2014,183420
2015,196277
2016,210110
2017,214557
