Year,Visitors
1969,33200
1970,29500
1971,32200
1972,31242
1973,33100
1974,28100
1975,29300
1976,18800
1977,23800
1978,21294
1979,19308
1980,17299
1981,17757
1982,16829
1983,18269
1984,18907
1985,17438
1986,18632
1987,15951
1988,15496
1989,14640
1990,16391
1991,13542
1992,11345
1993,12998
1994,11814
1995,9250
1996,15717
1997,13508
1998,10924
1999,23047
2000,12262
2001,12244
2002,9417
2003,9330
2004,11073
2005,7616
2006,6490
2007,8896
2008,10090
2009,16333
2010,17466
2011,18466
2012,22642
2013,17273
2014,26273
2015,18485
2016,25467
2017,30399
