Year,Visitors
1969,19700
1970,43200
1971,52700
1972,45861
1973,56100
1974,54300
1975,61800
1976,66300
1977,61600
1978,42865
1979,42201
1980,33164
1981,36124
1982,44183
1983,38064
1984,56560
1985,50796
1986,51996
1987,69414
1988,123253
1989,333283
1990,156534
1991,154553
1992,136511
1993,133427
1994,126239
1995,133440
1996,141116
1997,131225
1998,136582
1999,120901
2000,122323
2001,119462
2002,136135
2003,105361
2004,115020
2005,111987
2006,112239
2007,126066
2008,135308
2009,114350
2010,100799
2011,105906
2012,123081
2013,121923
2014,141354
2015,163431
2016,154931
2017,171376
