Year,Visitors
1967,6200
1968,9900
1969,14500
1970,19000
1971,18600
1972,24577
1973,22100
1974,24500
1975,27000
1976,29400
1977,29800
1978,26088
1979,24911
1980,27449
1981,27070
1982,33015
1983,28118
1984,32207
1985,33954
1986,38051
1987,33712
1988,35923
1989,33358
1990,26234
1991,22680
1992,21473
1993,29376
1994,31044
1995,27936
1996,28045
1997,31534
1998,30051
1999,30992
2000,32538
2001,25257
2002,27942
2003,26578
2004,27873
2005,28166
2006,29499
2007,30875
2008,28770
2009,34516
2010,34904
2011,31236
2012,37403
2013,37777
2014,41535
2015,42615
2016,49376
2017,46876
