Year,Visitors
1941,31285
1942,23691
1943,17414
1944,7640
1945,18275
1946,36605
1947,57801
1948,59157
1949,66991
1950,79129
1951,93615
1952,141416
1953,172423
1954,260700
1955,280600
1956,312900
1957,320300
1958,365300
1959,299600
1960,320100
1961,301500
1962,331500
1963,346300
1964,343400
1965,336000
1966,408600
1967,416500
1968,489400
1969,550300
1970,643000
1971,576000
1972,602752
1973,589600
1974,509900
1975,552200
1976,728900
1977,745600
1978,602453
1979,590543
1980,545357
1981,612966
1982,673201
1983,671426
1984,663798
1985,641172
1986,783224
1987,830085
1988,955246
1989,990214
1990,1022396
1991,1145458
1992,1220539
1993,1252401
1994,1184871
1995,1235702
1996,1095046
1997,1226273
1998,1410312
1999,1316340
2000,1233935
2001,1280917
2002,1178376
2003,1283346
2004,1243659
2005,1375111
2006,1256421
2007,1298979
2008,1392446
2009,1304471
2010,1434976
2011,1396237
2012,1396117
2013,1383340
2014,1589904
2015,2025756
2016,2505286
2017,2853619
