Year,Visitors
1923,15
1924,17
1956,500
1957,600
1958,700
1959,1100
1960,600
1961,600
1962,300
1963,700
1964,500
1965,800
1966,900
1967,1200
1968,1600
1969,7800
1970,11800
1971,9600
1972,11900
1973,8400
1974,11900
1975,9700
1976,10400
1977,10000
1978,11300
1979,10659
1980,11824
1981,13115
1982,14377
1983,11182
1984,20074
1985,25142
1986,41663
1987,38212
1988,45710
1989,40247
1990,40778
1991,41417
1992,46196
1993,53421
1994,55728
1995,0
1997,18802
1998,45470
1999,51399
2000,71389
2001,67038
2002,59025
2003,51589
2004,56787
2005,54274
2006,68630
2007,82634
2008,7970
2009,43035
2010,55172
2011,48939
2012,39818
2013,28966
2014,30896
2015,37818
2016,37818
2017,37818
