Year,Visitors
1934,1705
1935,6368
1936,3300
1937,4306
1938,4314
1939,4648
1940,7650
1941,17619
1942,15827
1943,12894
1944,14583
1945,22873
1946,26569
1947,37688
1948,44782
1949,48885
1950,52060
1951,51578
1952,141869
1953,159501
1954,151700
1955,116700
1956,138100
1957,155100
1958,188800
1959,175300
1960,203500
1961,199200
1962,178200
1963,203600
1964,286800
1965,426400
1966,428900
1967,196100
1968,256000
1969,258100
1970,385600
1971,392100
1972,527410
1973,589700
1974,616200
1975,598800
1976,676500
1977,734900
1978,862456
1979,876352
1980,934778
1981,1009433
1982,963835
1983,946672
1984,913604
1985,776340
1986,665582
1987,749043
1988,693389
1989,762422
1990,784310
1991,787400
1992,926748
1993,929767
1994,965883
1995,1147958
1996,1172130
1997,959260
1998,1052281
1999,1236585
2000,1341712
2001,1329271
2002,1359114
2003,1422380
2004,1221752
2005,1005510
2006,1316129
2007,1329441
2008,1415917
2009,1372228
2010,1512191
2011,1748436
2012,1935909
2013,1924076
2014,2119013
2015,2174870
2016,2360256
2017,2593725
