Year,Visitors
1934,15000
1935,18000
1936,13409
1937,27157
1938,32108
1939,34201
1940,36619
1941,34828
1942,17887
1943,7541
1944,10095
1945,16360
1946,27906
1947,34823
1948,35133
1949,39480
1950,75737
1951,70543
1952,58108
1953,72559
1954,77500
1955,58800
1956,53000
1957,50900
1958,58700
1959,68200
1960,67700
1961,67300
1962,69200
1963,76600
1964,66900
1965,81100
1966,70300
1967,81900
1968,87700
1969,110500
1970,124200
1971,110200
1972,108454
1973,85900
1974,99200
1975,94200
1976,105000
1977,102300
1978,110136
1979,96565
1980,87993
1981,87038
1982,77705
1983,68737
1984,65611
1985,68254
1986,77061
1987,75048
1988,77555
1989,76871
1990,72570
1991,76150
1992,164132
1993,178863
1994,112349
1995,121507
1996,108298
1997,111733
1998,115727
1999,135180
2000,114337
2001,113882
2002,116445
2003,119515
2004,106940
2005,107475
2006,104490
2007,102629
2008,120076
2009,129639
2010,130765
2011,124113
2012,181429
2013,105395
2014,138499
2015,108687
2016,127699
2017,135286
