Year,Visitors
1937,389294
1938,564800
1939,611895
1940,655910
1941,844773
1942,338320
1943,214190
1944,263533
1945,587436
1946,1162037
1947,1426831
1948,1654004
1949,1423552
1950,1798280
1951,2053619
1952,1947204
1953,2220940
1954,2112700
1955,2675400
1956,2672800
1957,2955300
1958,3190600
1959,3390600
1960,2254200
1961,2220000
1962,2688700
1963,3349600
1964,3462600
1965,3594100
1966,3720500
1967,4102300
1968,4751800
1969,5614900
1970,4897100
1971,4419100
1972,4717594
1973,5340600
1974,5731600
1975,6001500
1976,6705400
1977,6301300
1978,6649576
1979,6155100
1980,4965601
1981,5219266
1982,5390496
1983,5913768
1984,6276562
1985,6952147
1986,7753333
1987,8098685
1988,8327850
1989,8495295
1990,8582223
1991,8445016
1992,9016525
1993,8941225
1994,9566725
1995,9838702
1996,9350847
1997,8528420
1998,8788055
1999,9023943
2000,8755005
2001,8465547
2002,7550284
2003,7915581
2004,7819984
2005,7692438
2006,7777753
2007,7622139
2008,7601863
2009,7668689
2010,7080758
2011,6396682
2012,6285439
2013,6344714
2014,6942873
2015,7298465
2016,7175891
2017,7882339
