Year,Visitors
1971,1159600
1972,1494194
1973,1677700
1974,1732200
1975,1708800
1976,1826100
1977,1630800
1978,1782299
1979,1849425
1980,1570790
1981,1559283
1982,1909655
1983,1844870
1984,1944648
1985,1597719
1986,1406693
1987,1280496
1988,1321739
1989,1274916
1990,1358778
1991,1280021
1992,1296962
1993,1480987
1994,1535448
1995,1470137
1996,1676466
1997,1683646
1998,1636419
1999,1779138
2000,1615751
2001,1248278
2002,936234
2003,972722
2004,768715
2005,1113192
2006,1037610
2007,984108
2008,875280
2009,1080644
2010,883586
2011,734030
2012,502457
2013,554272
2014,692195
2015,831374
2016,1025613
2017,1329076
