Year,Visitors
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,27500
1948,262470
1949,300821
1950,280688
1951,299476
1952,304950
1953,254825
1954,579700
1955,218800
1956,252600
1957,266900
1958,362500
1959,449000
1960,647400
1961,740700
1962,689900
1963,664500
1964,637100
1965,680200
1966,778300
1967,758400
1968,542700
1969,875100
1970,652900
1971,421200
1972,447660
1973,428000
1974,575100
1975,496400
1976,635400
1977,676800
1978,712545
1979,794710
1980,833400
1981,873754
1982,819328
1983,666341
1984,622908
1985,517471
1986,790311
1987,1067001
1988,1366305
1989,1097136
1990,1542515
1991,1771420
1992,1121973
1993,1198605
1994,1515674
1995,1341016
1996,1045455
1997,1431960
1998,1545150
1999,1403793
2000,1415627
2001,1252160
2002,1444751
2003,1356331
2004,1279051
2005,1272119
2006,1281586
2007,1450438
2008,1337024
2009,1382663
2010,1324074
2011,1523474
2012,1781972
2013,1254409
2014,1180898
2015,1170843
2016,1253571
2017,1304403
