Year,Visitors
1917,8500
1918,2000
1919,2500
1920,2000
1921,10000
1922,10000
1923,9500
1924,12500
1925,12596
1926,18739
1927,20089
1928,26057
1929,26106
1930,31755
1931,56833
1932,41723
1933,45577
1934,51906
1935,52294
1936,76971
1937,86757
1938,73005
1939,100880
1940,104619
1941,109272
1942,48144
1943,18971
1944,19060
1945,45225
1946,99067
1947,149848
1948,160707
1949,172496
1950,183815
1951,203609
1952,212550
1953,225328
1954,282400
1955,304400
1956,303800
1957,327300
1958,346700
1959,379900
1960,401800
1961,460000
1962,399000
1963,369300
1964,407700
1965,400300
1966,462500
1967,358300
1968,442800
1969,435700
1970,466600
1971,447400
1972,504641
1973,496200
1974,408700
1975,444500
1976,461400
1977,381200
1978,442192
1979,380014
1980,394425
1981,415045
1982,414859
1983,429867
1984,463275
1985,451497
1986,439723
1987,472431
1988,495628
1989,466115
1990,460917
1991,463179
1992,468011
1993,434264
1994,385489
1995,351001
1996,351632
1997,391816
1998,318049
1999,353756
2000,374911
2001,376695
2002,388149
2003,404384
2004,379667
2005,365535
2006,388741
2007,395057
2008,377361
2009,365639
2010,384570
2011,351269
2012,407653
2013,427409
2014,432977
2015,468092
2016,536068
2017,507256
