Year,Visitors
1961,69000
1962,70500
1963,71700
1964,71900
1965,70000
1966,87200
1967,82600
1968,89900
1969,106200
1970,115600
1971,123000
1972,109876
1973,109100
1974,85100
1975,114000
1976,117200
1977,96300
1978,88668
1979,93453
1980,101060
1981,130765
1982,149368
1983,147208
1984,145975
1985,159861
1986,173778
1987,174798
1988,203151
1989,206821
1990,262728
1991,279799
1992,257179
1993,210176
1994,193558
1995,194410
1996,179573
1997,199822
1998,234227
1999,211494
2000,214759
2001,226137
2002,231907
2003,255853
2004,219192
2005,245266
2006,218816
2007,234380
2008,230057
2009,225846
2010,218553
2011,191867
2012,201704
2013,217022
2014,244921
2015,270410
2016,281576
2017,293356
