Year,Visitors
1941,67953
1942,25258
1943,14046
1944,15571
1945,18976
1946,51040
1947,56576
1948,66876
1949,73680
1950,73771
1951,93091
1952,108261
1953,109972
1954,117200
1955,132600
1956,115800
1957,130300
1958,130800
1959,130900
1960,146500
1961,150300
1962,179700
1963,175000
1964,188800
1965,191300
1966,218100
1967,260900
1968,238800
1969,243400
1970,263200
1971,338600
1972,387717
1973,312100
1974,259900
1975,236300
1976,294800
1977,328800
1978,270261
1979,203795
1980,183311
1981,252992
1982,205585
1983,221398
1984,247695
1985,261686
1986,275450
1987,265046
1988,226507
1989,225247
1990,230891
1991,292302
1992,328093
1993,335330
1994,399643
1995,409520
1996,363841
1997,358212
1998,366739
1999,394098
2000,330329
2001,334567
2002,425995
2003,422566
2004,347056
2005,328668
2006,298518
2007,290744
2008,282233
2009,302811
2010,320959
2011,312168
2012,346327
2013,277883
2014,281436
2015,317782
2016,332328
2017,296128
