Year,Visitors
1964,118600
1965,167000
1966,152200
1967,137800
1968,127700
1969,171000
1970,159800
1971,149000
1972,163900
1973,119200
1974,108700
1975,131300
1976,244000
1977,246700
1978,240500
1979,237793
1980,218811
1981,225590
1982,207898
1983,216252
1984,217844
1985,219215
1986,212002
1987,219075
1988,198685
1989,211587
1990,210377
1991,209197
1992,212037
1993,176591
1994,192460
1995,135400
1996,130805
1997,158806
1998,149323
1999,146914
2000,154031
2001,146037
2002,127225
2003,126924
2004,129392
2005,147443
2006,123781
2007,128596
2008,147123
2009,182172
2010,126228
2011,108420
2012,133550
2013,125069
2014,99795
2015,111711
2016,125562
2017,143651
