Year,Visitors
1972,76632
1973,659700
1974,522600
1975,494000
1976,492000
1977,480400
1978,450204
1979,403236
1980,408434
1981,402686
1982,432695
1983,448078
1984,431196
1985,431347
1986,440775
1987,418356
1988,606918
1989,582589
1990,452894
1991,509507
1992,520940
1993,451674
1994,461966
1995,428202
1996,412524
1997,442514
1998,408051
1999,385683
2000,367968
2001,392214
2002,390076
2003,383025
2004,361349
2005,419552
2006,388887
2007,358809
2008,335473
2009,464074
2010,354125
2011,296214
2012,295464
2013,209405
2014,218132
2015,233299
2016,239719
2017,232265
