Year,Visitors
1936,857441
1937,1252438
1938,1215961
1939,1079367
1940,1538573
1941,1768810
1942,666524
1943,519640
1944,738945
1945,544186
1946,995957
1947,1325150
1948,1516834
1949,1668779
1950,2065586
1951,1675751
1952,1793048
1953,1718168
1954,1688400
1955,1650400
1956,1850300
1957,2305400
1958,1978500
1959,2054900
1960,2488200
1961,2890000
1962,2672300
1963,3461100
1964,4016900
1965,4039900
1966,4690700
1967,3519600
1968,3479100
1969,3874500
1970,2782000
1971,2330700
1972,1989112
1973,2422500
1974,2827600
1975,4351900
1976,4352900
1977,2350900
1978,2424478
1979,3352343
1980,3307585
1981,2989487
1982,3131753
1983,3352825
1984,3963471
1985,3810581
1986,3972460
1987,4308292
1988,2787270
1989,1462609
1990,1265085
1991,1141278
1992,1237659
1993,1258534
1994,1200094
1995,1291628
1996,1190961
1997,1557964
1998,4368912
1999,4099480
2000,4009145
2001,3968357
2002,3551973
2003,3272596
2004,3988650
2005,3638806
2006,3810347
2007,4214167
2008,4678861
2009,5255570
2010,6042315
2011,5971220
2012,6191361
2013,6546518
2014,7139072
2015,7941771
2016,7915934
2017,7956117
