Year,Visitors
1970,186500
1971,192100
1972,316617
1973,579200
1974,379800
1975,403400
1976,386900
1977,390100
1978,353513
1979,295303
1980,317982
1981,300685
1982,290524
1983,299460
1984,276414
1985,287622
1986,308124
1987,330848
1988,303214
1989,286686
1990,193066
1991,194220
1992,190414
1993,184841
1994,181555
1995,159430
1996,136892
1997,129667
1998,124212
1999,122116
2000,108728
2001,101824
2002,95188
2003,85339
2004,80730
2005,75932
2006,78792
2007,85818
2008,93204
2009,98218
2010,112680
2011,100056
2012,110791
2013,82369
2014,88427
2015,124979
2016,140303
2017,146119
