Year,Visitors
1936,57775
1937,75434
1938,120692
1939,116516
1940,117751
1941,165996
1942,87157
1943,44611
1944,49389
1945,70513
1946,162877
1947,185111
1948,180621
1949,211792
1950,254187
1951,364213
1952,438030
1953,499416
1954,439800
1955,447800
1956,466100
1957,450200
1958,480100
1959,490300
1960,519100
1961,519300
1962,569300
1963,636100
1964,793400
1965,872200
1966,1143800
1967,1282800
1968,1540200
1969,1299700
1970,1726500
1971,1571900
1972,1699782
1973,1754500
1974,1566900
1975,1680700
1976,1748900
1977,1806300
1978,1640488
1979,1384910
1980,1495787
1981,1404317
1982,1526676
1983,1498503
1984,1501450
1985,1507939
1986,1646673
1987,1636340
1988,1735610
1989,1672840
1990,1924538
1991,2158195
1992,2392858
1993,2396234
1994,2009935
1995,1935709
1996,1896829
1997,1997658
1998,2113992
1999,1710983
2000,1749268
2001,1883580
2002,1891307
2003,1869137
2004,1888267
2005,1878006
2006,597934
2007,487305
2008,446174
2009,503856
2010,497225
2011,483319
2012,508054
2013,494541
2014,522628
2015,566895
2016,586514
2017,587853
