Year,Visitors
1940,5340
1941,7517
1942,10700
1943,7373
1944,4978
1945,5857
1946,7414
1947,8562
1948,13080
1949,30527
1950,47040
1951,67927
1952,72865
1953,103698
1954,100300
1955,89800
1956,102300
1957,162200
1958,169300
1959,209300
1960,160400
1961,369600
1962,201600
1963,242500
1964,323300
1965,426200
1966,464700
1967,543400
1968,581200
1969,677100
1970,658000
1971,727900
1972,725883
1973,717200
1974,699000
1975,805900
1976,882300
1977,760800
1978,1033811
1979,778444
1980,797913
1981,792371
1982,668601
1983,720745
1984,703100
1985,723998
1986,793274
1987,667014
1988,778861
1989,767138
1990,799972
1991,905485
1992,867606
1993,614897
1994,917534
1995,676087
1996,725086
1997,1025826
1998,972709
1999,815338
2000,692006
2001,822684
2002,779147
2003,759953
2004,722132
2005,715622
2006,674851
2007,584926
2008,594992
2009,578383
2010,612490
2011,659740
2012,600354
2013,538888
2014,514140
2015,502045
2016,534835
2017,605577
