Year,Visitors
1908,80
1909,165
1910,250
1911,206
1912,230
1913,280
1914,502
1915,663
1916,1385
1917,2223
1918,2058
1919,2287
1920,2890
1921,3003
1922,4251
1923,5236
1924,7109
1925,9043
1926,11356
1927,11915
1928,16760
1929,14517
1930,16656
1931,18003
1932,15760
1933,16185
1934,21474
1935,21835
1936,25571
1937,28171
1938,30911
1939,32246
1940,36448
1941,42406
1942,13045
1943,4621
1944,5561
1945,12994
1946,39843
1947,52975
1948,59362
1949,78024
1950,88184
1951,99309
1952,105700
1953,136123
1954,150300
1955,161300
1956,186800
1957,193900
1958,201300
1959,217400
1960,225700
1961,227700
1962,262200
1963,325300
1964,344400
1965,378300
1966,423400
1967,435000
1968,449800
1969,513800
1970,527200
1971,518500
1972,546286
1973,482900
1974,445400
1975,614500
1976,675100
1977,663700
1978,653052
1979,473715
1980,539257
1981,588608
1982,602968
1983,604115
1984,516865
1985,656271
1986,658888
1987,728566
1988,772183
1989,600045
1990,611375
1991,678075
1992,742080
1993,666054
1994,685031
1995,663794
1996,617360
1997,627720
1998,604556
1999,635736
2000,452287
2001,513409
2002,406385
2003,438590
2004,446811
2005,498333
2006,557248
2007,541102
2008,551446
2009,550377
2010,559712
2011,572329
2012,488860
2013,460237
2014,501563
2015,547325
2016,583527
2017,613788
