Year,Visitors
1964,380400
1965,412300
1966,407300
1967,426300
1968,470300
1969,529300
1970,546700
1971,575800
1972,586655
1973,635700
1974,812800
1975,1243600
1976,1165200
1977,989100
1978,724850
1979,956954
1980,1005047
1981,1047239
1982,1037897
1983,1015027
1984,960840
1985,895775
1986,1208554
1987,945530
1988,1001990
1989,916595
1990,857156
1991,769746
1992,1091964
1993,953630
1994,1062161
1995,1078632
1996,955938
1997,828902
1998,965253
1999,869884
2000,1004195
2001,1072979
2002,1179317
2003,1176283
2004,1072149
2005,1027033
2006,1084041
2007,1107254
2008,1067578
2009,1096024
2010,1073748
2011,1002833
2012,1001207
2013,947894
2014,1056549
2015,964330
2016,1049414
2017,1023921
