Year,Visitors
1920,2500
1921,4500
1922,6000
1923,7400
1924,7500
1925,9000
1926,12385
1927,15400
1928,16232
1929,17824
1930,19298
1931,14411
1932,14000
1933,13899
1934,18619
1935,14919
1936,10654
1937,9813
1938,10645
1939,7887
1940,8078
1941,10077
1942,4713
1943,2715
1944,3161
1945,6039
1946,15801
1947,22517
1948,26918
1949,36261
1950,44157
1951,47898
1952,52105
1953,64317
1954,57200
1955,60700
1956,138200
1957,162100
1958,152700
1959,175400
1960,177700
1961,208800
1962,221300
1963,231700
1964,222000
1965,232300
1966,235700
1967,245200
1968,288400
1969,309200
1970,370900
1971,372600
1972,402658
1973,361900
1974,337800
1975,488100
1976,492900
1977,495200
1978,457986
1979,382085
1980,413885
1981,472306
1982,454985
1983,479722
1984,528413
1985,545624
1986,642027
1987,738047
1988,802819
1989,835802
1990,852678
1991,876093
1992,902010
1993,946262
1994,923687
1995,926631
1996,1029336
1997,947062
1998,853821
1999,823489
2000,789131
2001,710595
2002,643645
2003,637024
2004,644452
2005,622320
2006,597762
2007,597611
2008,603755
2009,601465
2010,578554
2011,573731
2012,455305
2013,389091
2014,407017
2015,416635
2016,392168
2017,398174
