Year,Visitors
1936,4158
1937,4858
1938,6218
1939,5185
1940,3722
1941,4359
1942,2700
1943,5774
1944,3342
1945,3501
1946,4031
1947,3818
1948,4974
1949,9032
1950,12738
1951,18121
1952,18194
1953,18864
1954,21700
1955,22600
1956,26200
1957,28100
1958,30000
1959,31200
1960,24400
1961,20600
1962,25700
1963,27100
1964,28000
1965,31900
1966,33800
1967,33500
1968,35400
1969,37500
1970,44100
1971,52500
1972,42241
1973,37600
1974,42900
1975,49000
1976,71100
1977,56200
1978,56967
1979,44272
1980,41793
1981,45059
1982,50192
1983,39532
1984,32715
1985,43908
1986,45821
1987,41026
1988,49020
1989,46260
1990,51640
1991,68511
1992,64958
1993,58215
1994,70225
1995,57706
1996,58516
1997,47139
1998,52210
1999,81574
2000,89872
2001,88320
2002,86782
2003,67272
2004,60676
2005,48406
2006,44378
2007,55039
2008,44820
2009,68864
2010,51326
2011,58118
2012,79345
2013,72330
2014,87774
2015,89944
2016,83889
2017,86747
