Year,Visitors
1904,563
1905,928
1906,1786
1907,2068
1908,2826
1909,5968
1910,8000
1911,10306
1912,8946
1913,13501
1914,15038
1915,35166
1916,23989
1917,35568
1918,43901
1919,55232
1920,56491
1921,55771
1922,70371
1923,123708
1924,161473
1925,173004
1926,161796
1927,200051
1928,219531
1929,217783
1930,265620
1931,293562
1932,216065
1933,170104
1934,242757
1935,239309
1936,317345
1937,349289
1938,381876
1939,361787
1940,456637
1941,476776
1942,343575
1943,124474
1944,135277
1945,304227
1946,470903
1947,519698
1948,570053
1949,584004
1950,573685
1951,873877
1952,877388
1953,768015
1954,795000
1955,839200
1956,850700
1957,935800
1958,1115800
1959,1105100
1960,1538700
1961,1592800
1962,1905300
1963,1544300
1964,1439900
1965,1643100
1966,1722300
1967,1805900
1968,1682700
1969,1659500
1970,1925100
1971,1319400
1972,1275589
1973,1065400
1974,1138100
1975,1176500
1976,1414500
1977,1819600
1978,1606968
1979,1516703
1980,1268256
1981,1233671
1982,1007300
1983,1106306
1984,1152411
1985,1165640
1986,1298457
1987,1292027
1988,1255618
1989,1354302
1990,1327101
1991,1549412
1992,1522057
1993,1365213
1994,1426244
1995,1438227
1996,1338961
1997,1315773
1998,1353793
1999,1291397
2000,1344833
2001,1301103
2002,1310390
2003,1262351
2004,1217750
2005,1173897
2006,1113601
2007,1047685
2008,1163227
2009,1151654
2010,1191754
2011,1038229
2012,1049178
2013,1148552
2014,1264259
2015,1237231
2016,1356913
2017,1415867
