Year,Visitors
1933,25000
1934,30343
1935,53737
1936,81618
1937,106390
1938,137157
1939,136640
1940,213858
1941,227110
1942,109407
1943,83615
1944,111322
1945,166216
1946,271647
1947,342182
1948,304202
1949,355154
1950,301216
1951,390439
1952,446130
1953,467778
1954,478000
1955,438200
1956,399100
1957,540600
1958,514400
1959,522200
1960,481200
1961,353500
1962,449600
1963,473400
1964,509500
1965,514700
1966,533700
1967,654600
1968,418700
1969,457800
1970,401000
1971,280100
1972,320868
1973,351200
1974,833200
1975,622000
1976,903000
1977,684800
1978,679135
1979,554064
1980,580792
1981,561698
1982,534659
1983,626327
1984,579845
1985,620809
1986,534064
1987,502039
1988,460398
1989,643232
1990,705870
1991,686040
1992,729568
1993,614744
1994,589763
1995,583662
1996,498256
1997,535787
1998,543277
1999,601925
2000,463624
2001,464758
2002,336509
2003,328057
2004,310041
2005,241897
2006,277748
2007,296651
2008,277203
2009,298060
2010,278392
2011,222395
2012,294606
2013,304941
2014,264363
2015,218959
2016,252514
2017,268295
