Year,Visitors
1941,393000
1942,139694
1943,31412
1944,29575
1945,84712
1946,324596
1947,427022
1948,570663
1949,656717
1950,740499
1951,740634
1952,835101
1953,913808
1954,910100
1955,894600
1956,829800
1957,866700
1958,961400
1959,1045700
1960,1067000
1961,1030400
1962,1209400
1963,1272800
1964,1343300
1965,1507400
1966,1585200
1967,1632500
1968,1728500
1969,1763900
1970,1965700
1971,2281200
1972,1880903
1973,1949300
1974,1592500
1975,1533500
1976,1733500
1977,1733100
1978,1750127
1979,1245425
1980,1284888
1981,1604991
1982,1484300
1983,1562559
1984,1558872
1985,1740793
1986,1648737
1987,1530714
1988,1570137
1989,1639986
1990,1671673
1991,2044522
1992,1917134
1993,1930053
1994,2043988
1995,1687529
1996,1904991
1997,1752014
1998,2014485
1999,1972289
2000,1868876
2001,1904119
2002,2162570
2003,2217894
2004,2037820
2005,2037861
2006,1989771
2007,1856118
2008,1789328
2009,2260192
2010,2331237
2011,2081722
2012,2185447
2013,2162998
2014,2144808
2015,2434297
2016,2431231
2017,2437800
