Year,Visitors
1919,43200
1920,77577
1921,87400
1922,90370
1923,91253
1924,92391
1925,93643
1926,97426
1927,101514
1928,103571
1929,93358
1930,77311
1931,73717
1932,50746
1933,39568
1934,41855
1935,45467
1936,51422
1937,73395
1938,76116
1939,179365
1940,135823
1941,133663
1942,94630
1943,97154
1944,110503
1945,171286
1946,275003
1947,281307
1948,273902
1949,280459
1950,280534
1951,276929
1952,293280
1953,401252
1954,412400
1955,403800
1956,409200
1957,411200
1958,451000
1959,504900
1960,508800
1961,524300
1962,532800
1963,577900
1964,609000
1965,596900
1966,685900
1967,737700
1968,721900
1969,694800
1970,733000
1971,740100
1972,805628
1973,792800
1974,805200
1975,974400
1976,958200
1977,1003600
1978,1211502
1979,1227241
1980,1311613
1981,1264676
1982,1171430
1983,1167337
1984,1220310
1985,1377221
1986,1399636
1987,1628198
1988,1598743
1989,1578874
1990,1479684
1991,1518874
1992,1623430
1993,1517834
1994,1406592
1995,1295876
1996,1410655
1997,1546514
1998,860378
1999,883164
2000,884229
2001,773624
2002,708091
2003,719350
2004,778368
2005,775941
2006,741768
2007,811033
2008,838292
2009,779880
2010,834356
2011,897131
2012,972331
2013,954125
2014,1049400
2015,1099923
2016,1123121
2017,1062099
