Year,Visitors
1923,20
1924,62
1926,68
1927,82
1928,175
1929,260
1930,300
1931,368
1932,344
1933,654
1934,750
1935,700
1936,628
1937,748
1938,741
1939,1044
1940,901
1941,585
1942,272
1943,130
1944,112
1945,229
1946,989
1947,930
1948,1482
1949,1518
1950,2223
1951,3034
1952,3232
1953,3268
1954,2700
1955,3000
1956,2700
1957,2700
1958,5300
1959,6000
1960,6500
1961,7700
1962,10100
1963,11600
1964,10500
1965,19300
1966,29800
1967,36600
1968,37800
1969,37800
1970,39900
1971,48100
1972,57776
1973,42200
1974,39500
1975,47800
1976,71300
1977,74900
1978,69696
1979,78564
1980,63594
1981,60131
1982,55209
1983,56368
1984,59123
1985,61179
1986,73069
1987,88243
1988,98559
1989,103822
1990,101958
1991,124596
1992,139160
1993,151504
1994,137214
1995,146636
1996,136368
1997,141573
1998,126360
1999,129173
2000,112573
2001,97171
2002,98281
2003,98874
2004,96106
2005,121247
2006,91288
2007,88316
2008,91838
2009,92023
2010,95676
2011,91184
2012,89011
2013,82330
2014,87119
2015,94797
2016,101843
2017,107443
