Year,Visitors
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1953,1425629
1954,1721800
1955,2197300
1956,2414700
1957,2841500
1958,3141300
1959,3362300
1960,3479300
1961,3685300
1962,5328000
1963,5288800
1964,4476700
1965,4979200
1966,5652400
1967,6781700
1968,8911700
1969,10451000
1970,11256100
1971,7882100
1972,8865225
1973,9387000
1974,8579100
1975,8825000
1976,8792200
1977,9770800
1978,9730148
1979,9475305
1980,10601566
1981,11160608
1982,11051140
1983,12796122
1984,13478261
1985,12931973
1986,14364008
1987,9941614
1988,11685582
1989,10837879
1990,5505253
1991,5832697
1992,5776191
1993,5752880
1994,5287801
1995,5849061
1996,6088610
1997,5992978
1998,5810094
1999,6392961
2000,5737183
2001,5552351
2002,5643170
2003,5555984
2004,5389227
2005,5482282
2006,5713583
2007,5777666
2008,5747235
2009,5934363
2010,5910950
2011,5765343
2012,5560668
2013,6012740
2014,5846474
2015,5785812
2016,5891315
2017,6326062
