Year,Visitors
1920,64
1921,65
1922,112
1924,85
1925,200
1926,250
1927,260
1928,315
1929,965
1930,215
1931,300
1932,300
1933,375
1934,675
1935,446
1936,363
1937,329
1938,411
1939,433
1940,513
1941,560
1942,120
1943,53
1944,66
1945,219
1946,376
1947,307
1948,577
1949,816
1950,1023
1951,1000
1952,966
1953,2151
1954,1700
1955,1500
1956,1400
1957,1900
1958,1800
1959,2100
1960,2500
1961,3900
1962,4500
1963,7900
1964,7900
1965,17100
1966,42200
1967,60900
1968,59800
1969,75800
1970,95200
1971,33500
1972,42013
1973,37400
1974,33100
1975,39500
1976,40500
1977,50400
1978,43061
1979,41341
1980,39886
1981,39574
1982,38927
1983,46792
1984,38916
1985,46702
1986,46554
1987,62441
1988,78861
1989,83615
1990,76808
1991,81488
1992,106195
1993,97594
1994,105234
1995,108474
1996,100323
1997,100466
1998,90666
1999,78603
2000,66133
2001,57904
2002,60282
2003,76620
2004,65246
2005,54688
2006,71595
2007,69445
2008,74143
2009,77901
2010,90696
2011,87388
2012,58219
2013,54168
2014,65778
2015,71370
2016,65705
2017,68785
