Year,Visitors
1968,32800
1969,67100
1970,53700
1971,140900
1972,216602
1973,140100
1974,132900
1975,149300
1976,186700
1977,154200
1978,127168
1979,162688
1980,169727
1981,174997
1982,187747
1983,207746
1984,222236
1985,228300
1986,200881
1987,238305
1988,208329
1989,241625
1990,199534
1991,242112
1992,264643
1993,249418
1994,262355
1995,250276
1996,263241
1997,255539
1998,236020
1999,187252
2000,145970
2001,159417
2002,205891
2003,199282
2004,187210
2005,152396
2006,155802
2007,225568
2008,207250
2009,176238
2010,193000
2011,286259
2012,233093
2013,297973
2014,221439
2015,224967
2016,239908
2017,238424
