Year,Visitors
1970,295000
1971,210800
1972,546266
1973,865600
1974,882000
1975,866200
1976,765600
1977,682300
1978,917581
1979,742997
1980,796079
1981,829026
1982,857016
1983,858041
1984,637836
1985,629234
1986,683056
1987,651606
1988,605967
1989,391433
1990,456444
1991,22796
1992,20295
1993,21378
1994,19323
1995,65984
1996,27910
1997,27203
1998,32753
1999,21488
2000,25704
2001,27739
2002,20691
2003,20724
2004,16912
2005,18686
2006,19167
2007,19534
2008,18725
2009,26972
2010,24659
2011,19208
2012,26935
2013,21623
2014,23865
2015,20677
2016,28646
2017,30326
