Code,Name,Latitude,Longitude,Type
TUIN,Tuskegee Institute National Historic Site,32.4296,-85.7049,National Historic Site
INDE,Independence National Historical Park,39.9475,-75.1479,National Historical Park
TONT,Tonto National Monument,33.6484,-111.114,National Monument
STLI,Statue Of Liberty National Monument,40.6957,-74.0423,National Monument
ANJO,Andrew Johnson National Historic Site,36.1562,-82.8371,National Historic Site
TICA,Timpanogos Cave National Monument,40.4404,-111.709,National Monument
THST,Thomas Stone National Historic Site,38.5293,-77.0378,National Historic Site
WAPA,War In The Pacific National Historical Park,13.438,144.692,National Historical Park
THRO,Theodore Roosevelt National Park,47.1778,-103.43,National Park
THRI,Theodore Roosevelt Inaugural National Historic Site,42.9015,-78.8725,National Historic Site
THRB,Theodore Roosevelt Birthplace National Historic Site,40.7386,-73.989,National Historic Site
THKO,Thaddeus Kosciuszko National Memorial,39.9435,-75.1473,National Memorial
GREE,Greenbelt Park,38.9833,-76.8972,Park
SUCR,Sunset Crater Volcano National Monument,35.3711,-111.51,National Monument
STRI,Stones River National Battlefield,35.8761,-86.4308,National Battlefield
GEGR,General Grant National Memorial,40.8133,-73.9633,National Memorial
STEA,Steamtown National Historic Site,41.4076,-75.6704,National Historic Site
PINN,Pinnacles National Park,36.4903,-121.181,National Park
MALU,"Martin Luther King, Jr. National Historical Park",33.7562,-84.3726,National Historical Park
GUIS,Gulf Islands National Seashore,30.2992,-87.7506,National Seashore
TAPR,Tallgrass Prairie National Preserve,38.4402,-96.5671,National Preserve
ELRO,Eleanor Roosevelt National Historic Site,41.7621,-73.8989,National Historic Site
SLBE,Sleeping Bear Dunes National Lakeshore,44.9284,-86.0271,National Lakeshore
SHEN,Shenandoah National Park,38.4924,-78.4691,National Park
STON,Stonewall National Monument,40.7338,-74.0007,National Monument
AGFO,Agate Fossil Beds National Monument,42.4217,-103.754,National Monument
SCBL,Scotts Bluff National Monument,41.8346,-103.707,National Monument
HOCU,Hopewell Culture National Historical Park,39.3159,-83.0805,National Historical Park
SAPA,Saint Paul's Church National Historic Site,40.8928,-73.8258,National Historic Site
SAMA,Salem Maritime National Historic Site,42.5202,-70.8864,National Historic Site
SAJH,San Juan Island National Historical Park,48.5124,-123.061,National Historical Park
WIHO,William Howard Taft National Historic Site,39.1197,-84.5076,National Historic Site
SAIR,Saugus Iron Works National Historic Site,42.4683,-71.0077,National Historic Site
NABR,Natural Bridges National Monument,37.6045,-110.002,National Monument
SAGA,Saint-Gaudens National Historic Site,43.4997,-72.3733,National Historic Site
SARA,Saratoga National Historical Park,42.9952,-73.6339,National Historical Park
SAAN,San Antonio Missions National Historical Park,29.3126,-98.429,National Historical Park
RORI,Rosie the Riveter WWII Home Front National Historical Park,37.91,-122.36,National Historical Park
RIGR,Rio Grande Wild & Scenic River,29.5274,-102.598,Wild & Scenic River
CAKR,Cape Krusenstern National Monument,67.415,-163.504,National Monument
FOMA,Fort Matanzas National Monument,29.7121,-81.2357,National Monument
VALL,Valles Caldera National Preserve,35.9168,-106.52,National Preserve
MISS,Mississippi National River and Recreation Area,44.8745,-93.0469,National River and Recreation Area
BOAF,Boston African American National Historic Site,42.3591,-71.0676,National Historic Site
CAVO,Capulin Volcano National Monument,36.7817,-103.971,National Monument
GRPO,Grand Portage National Monument,47.9929,-89.7557,National Monument
WHMI,Whitman Mission National Historic Site,46.0412,-118.463,National Historic Site
EVER,Everglades National Park,25.3729,-80.882,National Park
BRVB,Brown v. Board of Education National Historic Site,39.0379,-95.6761,National Historic Site
ALFL,Alibates Flint Quarries National Monument,35.582,-101.672,National Monument
DRTO,Dry Tortugas National Park,24.6488,-82.8718,National Park
PAAL,Palo Alto Battlefield National Historical Park,26.0239,-97.463,National Historical Park
CARL,Carl Sandburg Home National Historic Site,35.2682,-82.4511,National Historic Site
SITK,Sitka National Historical Park,57.0472,-135.316,National Historical Park
BISC,Biscayne National Park,25.4906,-80.2102,National Park
FOPO,Fort Point National Historic Site,37.8084,-122.474,National Historic Site
FOLS,Fort Larned National Historic Site,38.1805,-99.2184,National Historic Site
HOBE,Horseshoe Bend National Military Park,32.9767,-85.7341,National Military Park
COLO,Colonial National Historical Park,37.2282,-76.62,National Historical Park
CANA,Canaveral National Seashore,28.7864,-80.7542,National Seashore
CLBA,Clara Barton National Historic Site,38.9676,-77.1401,National Historic Site
CUGA,Cumberland Gap National Historical Park,36.625,-83.6114,National Historical Park
CHSC,Little Rock Central High School National Historic Site,34.7369,-92.2999,National Historic Site
HAFE,Harpers Ferry National Historical Park,39.3187,-77.7409,National Historical Park
PIPE,Pipestone National Monument,44.0135,-96.3248,National Monument
BIHO,Big Hole National Battlefield,45.6465,-113.646,National Battlefield
BOWA,Booker T Washington National Monument,37.1152,-79.7319,National Monument
CONG,Congaree National Park,33.7919,-80.7487,National Park
GOGA,Golden Gate National Recreation Area,37.8598,-122.601,National Recreation Area
FOBU,Fossil Butte National Monument,41.8564,-110.762,National Monument
BLCA,Black Canyon Of The Gunnison National Park,38.5778,-107.724,National Park
MORR,Morristown National Historical Park,40.7651,-74.5346,National Historical Park
CAVE,Carlsbad Caverns National Park,32.1409,-104.553,National Park
CHPI,Charles Pinckney National Historic Site,32.8458,-79.8249,National Historic Site
BEPA,Belmont-Paul Women's Equality National Monument,38.8923,-77.0038,National Monument
OCMU,Ocmulgee National Monument,32.8382,-83.6022,National Monument
