Year,Visitors
1937,35000
1938,36302
1939,38521
1940,37105
1941,66536
1942,31664
1943,27535
1944,29891
1945,30693
1946,30174
1947,26642
1948,30084
1949,29760
1950,31160
1951,44126
1952,107728
1953,76551
1954,65800
1955,92700
1956,88000
1957,75000
1958,67100
1959,87600
1960,86000
1961,88300
1962,67400
1963,71800
1964,86700
1965,86000
1966,85400
1967,72200
1968,48200
1969,39200
1970,59800
1971,51700
1972,96347
1973,116300
1974,104400
1975,115300
1976,128400
1977,86400
1978,76755
1979,81572
1980,88929
1981,84387
1982,80904
1983,111014
1984,148769
1985,198596
1986,214853
1987,164059
1988,118336
1989,127938
1990,122386
1991,127832
1992,125018
1993,115236
1994,111146
1995,114544
1996,129818
1997,126029
1998,120254
1999,118803
2000,127705
2001,118565
2002,109482
2003,174340
2004,138526
2005,130281
2006,140239
2007,114379
2008,102631
2009,110819
2010,109413
2011,122722
2012,120025
2013,115801
2014,122799
2015,155388
2016,162260
2017,156907
