Year,Visitors
1935,2200
1936,24600
1937,23520
1938,75310
1939,42125
1940,91863
1941,92667
1942,72349
1943,56681
1944,56076
1945,106740
1946,123698
1947,180617
1948,191578
1949,414787
1950,404125
1951,414916
1952,449117
1953,625703
1954,663100
1955,744900
1956,864600
1957,864800
1958,1181500
1959,1077400
1960,1160400
1961,1519500
1962,2044400
1963,1576200
1964,1343600
1965,2058000
1966,1752000
1967,1905300
1968,2013800
1969,2135900
1970,2283100
1971,1621400
1972,2464637
1973,2384800
1974,2094100
1975,2289200
1976,2327400
1977,2293900
1978,2534680
1979,2078843
1980,2032418
1981,2306032
1982,2478739
1983,2410722
1984,2759011
1985,2532145
1986,2940034
1987,2822850
1988,2959122
1989,2737611
1990,2794903
1991,2759673
1992,3030195
1993,2679598
1994,3381573
1995,3658615
1996,3348723
1997,3846709
1998,3577007
1999,3364266
2000,3327722
2001,3416069
2002,3691310
2003,3225327
2004,3073722
2005,3142774
2006,2749197
2007,2988686
2008,3081451
2009,3276459
2010,2844563
2011,2966502
2012,2824908
2013,3085340
2014,3243872
2015,3263761
2016,3390221
2017,3401996
