Year,Visitors
1934,22439
1935,30347
1936,52178
1937,55369
1938,43318
1939,56218
1940,57195
1941,55782
1942,0
1943,0
1944,233
1945,14947
1946,73864
1947,86003
1948,71305
1949,82337
1950,75354
1951,79288
1952,75599
1953,69861
1954,66900
1955,68600
1956,60600
1957,71300
1958,80200
1959,87000
1960,101300
1961,102900
1962,129100
1963,125800
1964,149900
1965,130900
1966,150300
1967,128400
1968,144100
1969,148600
1970,160800
1971,178100
1972,197811
1973,166400
1974,151500
1975,157700
1976,171200
1977,180900
1978,172308
1979,130733
1980,129090
1981,135495
1982,115045
1983,114160
1984,118583
1985,93993
1986,101833
1987,102944
1988,117068
1989,103325
1990,99158
1991,99061
1992,86097
1993,97223
1994,97286
1995,103056
1996,98383
1997,84500
1998,86476
1999,91129
2000,89230
2001,87175
2002,84520
2003,94745
2004,83701
2005,83811
2006,78900
2007,76966
2008,73774
2009,88496
2010,86335
2011,76194
2012,78164
2013,72717
2014,69405
2015,72709
2016,80613
2017,72212
