Year,Visitors
1937,5000
1938,6200
1939,7000
1940,9755
1941,10085
1942,17550
1943,58593
1944,60811
1945,69061
1946,74102
1947,85771
1948,106916
1949,129311
1950,168410
1951,205214
1952,194043
1953,272621
1954,287900
1955,298400
1956,381600
1957,381700
1958,358600
1959,374100
1960,262100
1961,252100
1962,294100
1963,329800
1964,324700
1965,362800
1966,293400
1967,340700
1968,374800
1969,333000
1970,415400
1971,52400
1972,84587
1973,87300
1974,103000
1975,137100
1976,128700
1977,137600
1978,147895
1979,131634
1980,148311
1981,177750
1982,151934
1983,205090
1984,182011
1985,175581
1986,219912
1987,247089
1988,240253
1989,216814
1990,218421
1991,228842
1992,260677
1993,251776
1994,274757
1995,412453
1996,399721
1997,168169
1998,182126
1999,156107
2000,258306
2001,329028
2002,294434
2003,277566
2004,229584
2005,280068
2006,313103
2007,341594
2008,340290
2009,330064
2010,209602
2011,211405
2012,161743
2013,206860
2014,224548
2015,222723
2016,234186
2017,260534
