Year,Visitors
1970,2096700
1971,2181400
1972,3081256
1973,1300400
1974,1084500
1975,1083400
1976,1317100
1977,1398400
1978,1422350
1979,1453034
1980,1428711
1981,1361644
1982,1449168
1983,1408642
1984,1429268
1985,1358900
1986,1351018
1987,1280744
1988,1546702
1989,1580800
1990,1739597
1991,2304761
1992,1649662
1993,1390130
1994,1471313
1995,1519853
1996,1475942
1997,1602504
1998,1547989
1999,1536301
2000,1568758
2001,1488355
2002,1607279
2003,1301415
2004,1317746
2005,1554729
2006,1491380
2007,1789783
2008,1243507
2009,1308718
2010,1416529
2011,1365960
2012,1406781
2013,1253703
2014,1296437
2015,1277941
2016,1241480
2017,1165296
