Year,Visitors
1966,152400
1967,195400
1968,360800
1969,711000
1970,721200
1971,892900
1972,877553
1973,930900
1974,789400
1975,861300
1976,960700
1977,836300
1978,860654
1979,774862
1980,765423
1981,620782
1982,731218
1983,630165
1984,613386
1985,669078
1986,708932
1987,605977
1988,587283
1989,586235
1990,593255
1991,972122
1992,848073
1993,766391
1994,915596
1995,755817
1996,840236
1997,677492
1998,707999
1999,630562
2000,759596
2001,656873
2002,532843
2003,568737
2004,643792
2005,666580
2006,730994
2007,658317
2008,635925
2009,642163
2010,612716
2011,542873
2012,573855
2013,515830
2014,578815
2015,582839
2016,634012
2017,650197
