Year,Visitors
1966,17900
1967,39500
1968,48300
1969,50100
1970,59700
1971,59400
1972,60333
1973,50100
1974,42400
1975,61200
1976,65100
1977,58900
1978,57979
1979,51476
1980,36677
1981,44539
1982,38926
1983,39371
1984,37514
1985,44616
1986,44808
1987,45320
1988,48595
1989,44632
1990,45316
1991,47111
1992,47809
1993,43410
1994,39517
1995,41090
1996,40400
1997,33862
1998,30172
1999,37886
2000,37127
2001,32718
2002,36934
2003,38326
2004,33829
2005,35782
2006,34106
2007,34307
2008,32701
2009,34522
2010,33864
2011,43873
2012,45568
2013,32386
2014,38256
2015,30229
2016,39715
2017,40650
