Year,Visitors
1919,3000
1920,30390
1921,32700
1922,31338
1923,45475
1924,42781
1925,55227
1926,53345
1927,61761
1928,75225
1929,69350
1930,105433
1931,93980
1932,84228
1933,224613
1934,222666
1935,69362
1936,161194
1937,124365
1938,212547
1939,189421
1940,199420
1941,245640
1942,73029
1943,34791
1944,40729
1945,100694
1946,286507
1947,341599
1948,343160
1949,341961
1950,352889
1951,335608
1952,374333
1953,403565
1954,419800
1955,441700
1956,603000
1957,665700
1958,713100
1959,878400
1960,911500
1961,671000
1962,705000
1963,786000
1964,884000
1965,867800
1966,849800
1967,797200
1968,869400
1969,1004900
1970,1151400
1971,1072000
1972,1223473
1973,1065100
1974,781000
1975,979400
1976,1066200
1977,857300
1978,951402
1979,671583
1980,683121
1981,747832
1982,710619
1983,708512
1984,714761
1985,736659
1986,761257
1987,758082
1988,857031
1989,824141
1990,844592
1991,874521
1992,930031
1993,936429
1994,922927
1995,935065
1996,829495
1997,823266
1998,816506
1999,666978
2000,605192
2001,583904
2002,571586
2003,586245
2004,580000
2005,598378
2006,581681
2007,563590
2008,543714
2009,631613
2010,664725
2011,614054
2012,664857
2013,644648
2014,836799
2015,793225
2016,643274
2017,627757
