Year,Visitors
1961,57200
1962,36600
1963,44700
1964,68800
1965,96200
1966,104100
1967,127600
1968,142200
1969,135000
1970,135800
1971,133700
1972,184547
1973,111000
1974,86300
1975,94500
1976,101300
1977,95400
1978,110036
1979,94197
1980,94687
1981,105117
1982,105296
1983,113930
1984,124282
1985,118613
1986,131161
1987,98688
1988,108075
1989,104612
1990,109972
1991,103034
1992,113762
1993,89688
1994,90407
1995,106513
1996,90839
1997,72016
1998,80000
1999,95410
2000,76495
2001,77583
2002,81815
2003,70678
2004,61449
2005,65557
2006,66177
2007,68840
2008,68464
2009,68746
2010,115128
2011,114234
2012,131907
2013,95251
2014,104686
2015,114578
2016,119490
2017,121163
