Year,Visitors
1935,3281
1936,36439
1937,110217
1938,150486
1939,192246
1940,183191
1941,259926
1942,194469
1943,101843
1944,100605
1945,139267
1946,138241
1947,135128
1948,129915
1949,191972
1950,175339
1951,200795
1952,203130
1953,223768
1954,206800
1955,214800
1956,162200
1957,189800
1958,232700
1959,252300
1960,545100
1961,798900
1962,848400
1963,1031400
1964,1157900
1965,1278800
1966,1162500
1967,1505500
1968,2335700
1969,2196400
1970,2991200
1971,347800
1972,241679
1973,432100
1974,417800
1975,467500
1976,517300
1977,616400
1978,665942
1979,577283
1980,545765
1981,536003
1982,550783
1983,553208
1984,532643
1985,526073
1986,524827
1987,460280
1988,442326
1989,370735
1990,250289
1991,293874
1992,299146
1993,254617
1994,218561
1995,200992
1996,171312
1997,177325
1998,155993
1999,148676
2000,171099
2001,161999
2002,167563
2003,162547
2004,158167
2005,143455
2006,152889
2007,154619
2008,154003
2009,162722
2010,175553
2011,213261
2012,188426
2013,190086
2014,205572
2015,192655
2016,191898
2017,208473
