Year,Visitors
1938,75000
1939,40000
1940,40000
1941,41956
1942,10676
1943,11544
1944,51546
1945,37372
1946,29018
1947,34182
1948,78633
1949,104521
1950,103183
1951,91603
1952,114108
1953,109719
1954,132200
1955,125300
1956,45400
1957,57800
1958,51100
1959,63700
1960,66900
1961,61700
1962,69600
1963,74100
1964,79000
1965,79100
1966,83300
1967,87000
1968,86000
1969,78800
1970,90800
1971,94900
1972,93195
1973,88900
1974,107400
1975,101900
1976,109700
1977,108700
1978,118511
1979,129831
1980,145289
1981,94885
1982,138841
1983,156293
1984,138615
1985,154983
1986,155127
1987,143164
1988,140645
1989,164390
1990,176909
1991,195001
1992,167609
1993,183789
1994,186172
1995,187700
1996,197506
1997,174445
1998,185679
1999,179542
2000,164223
2001,164402
2002,206171
2003,168002
2004,152628
2005,155689
2006,107908
2007,110879
2008,157337
2009,154457
2010,92944
2011,93119
2012,140281
2013,158231
2014,129440
2015,156578
2016,142152
2017,84769
