Year,Visitors
1923,6500
1924,8973
1925,10000
1926,10167
1927,11265
1928,13216
1929,10756
1930,11862
1931,12813
1932,14238
1933,9957
1934,20129
1935,17872
1936,18614
1937,22426
1938,22266
1939,24717
1940,25068
1941,27131
1942,10311
1943,4570
1944,3845
1945,7494
1946,16298
1947,18328
1948,20331
1949,24557
1950,24814
1951,27090
1952,28236
1953,42199
1954,38300
1955,36500
1956,40300
1957,53200
1958,54900
1959,71400
1960,72000
1961,76900
1962,81500
1963,97000
1964,103200
1965,118000
1966,117900
1967,160600
1968,147000
1969,147000
1970,166200
1971,169200
1972,168896
1973,155500
1974,138500
1975,162200
1976,156900
1977,160500
1978,155822
1979,153717
1980,163626
1981,155205
1982,171026
1983,170631
1984,166258
1985,191578
1986,198236
1987,204705
1988,212094
1989,218601
1990,214268
1991,192610
1992,191683
1993,194757
1994,172642
1995,177527
1996,164465
1997,171971
1998,94639
1999,164854
2000,162110
2001,178243
2002,162266
2003,162791
2004,157397
2005,170994
2006,158824
2007,161019
2008,166988
2009,171112
2010,246575
2011,393219
2012,224476
2013,237677
2014,196635
2015,206533
2016,215555
2017,233334
