Year,Visitors
1941,2785
1942,1034
1943,946
1944,2796
1945,4128
1946,3182
1947,4392
1948,10006
1949,36908
1950,55276
1951,93101
1952,96396
1953,114042
1954,82600
1955,52200
1956,61000
1957,69500
1958,126600
1959,136900
1960,155500
1961,164400
1962,157300
1963,178500
1964,111300
1965,92100
1966,102800
1967,114200
1968,102000
1969,146400
1970,157500
1971,156600
1972,169706
1973,143600
1974,148000
1975,164100
1976,198900
1977,188500
1978,180595
1979,143995
1980,136358
1981,149172
1982,134782
1983,133831
1984,129064
1985,131204
1986,138993
1987,117053
1988,105190
1989,109198
1990,106623
1991,120419
1992,124075
1993,107292
1994,116374
1995,104007
1996,96157
1997,87907
1998,91785
1999,92605
2000,92391
2001,88512
2002,84299
2003,82290
2004,81773
2005,69820
2006,66867
2007,72422
2008,80137
2009,69539
2010,78108
2011,61908
2012,76030
2013,64760
2014,62151
2015,70748
2016,67489
2017,76486
