Year,Visitors
1973,287500
1974,296300
1975,277300
1976,324400
1977,294700
1978,287447
1979,270376
1980,311000
1981,329775
1982,356415
1983,441271
1984,407697
1985,397884
1986,406619
1987,474934
1988,553774
1989,565242
1990,561973
1991,704894
1992,583110
1993,610811
1994,581281
1995,462687
1996,403684
1997,413963
1998,455120
1999,442916
2000,422683
2001,421312
2002,429229
2003,382456
2004,381854
2005,476888
2006,419298
2007,441521
2008,398774
2009,448215
2010,499281
2011,561104
2012,593587
2013,575450
2014,527897
2015,723178
2016,777428
2017,781190
