Year,Visitors
1970,11400
1971,46000
1972,36967
1973,45200
1974,50600
1975,38900
1976,100900
1977,171200
1978,137541
1979,137971
1980,160912
1981,116678
1982,118545
1983,69712
1984,58078
1985,58608
1986,76425
1987,87658
1988,56157
1989,181106
1990,270008
1991,164463
1992,213494
1993,139165
1994,133758
1995,147541
1996,194494
1997,245228
1998,233571
1999,239008
2000,201177
2001,251261
2002,229607
2003,184823
2004,190745
2005,176174
2006,199443
2007,184636
2008,324394
2009,234186
2010,248314
2011,279060
2012,124107
2013,161999
2014,109473
2015,148729
2016,123381
2017,154011
