Year,Visitors
1925,4000
1926,16728
1927,16853
1928,17321
1929,24883
1930,8765
1931,2300
1932,2100
1933,2548
1934,8544
1935,4896
1936,4218
1937,1042
1938,2245
1939,3192
1940,1141
1941,1444
1942,687
1943,5882
1944,492
1945,717
1946,1079
1947,791
1948,843
1949,1433
1950,2257
1951,2154
1952,2180
1953,3566
1954,4400
1955,4600
1956,8800
1957,15700
1958,13600
1959,11000
1960,7300
1961,11500
1962,18300
1963,24900
1964,22400
1965,27600
1966,27500
1967,20700
1968,21500
1969,27200
1970,36000
1971,33900
1972,33057
1973,23800
1974,18900
1975,22800
1976,27200
1977,26700
1978,28018
1979,24946
1980,25670
1981,30008
1982,30155
1983,28237
1984,28635
1985,30083
1986,33578
1987,35648
1988,40447
1989,42287
1990,46442
1991,55271
1992,56199
1993,52436
1994,47837
1995,46423
1996,44817
1997,66624
1998,62986
1999,64735
2000,51993
2001,50783
2002,54734
2003,56341
2004,57569
2005,54704
2006,50923
2007,46574
2008,47418
2009,49433
2010,59952
2011,57360
2012,54692
2013,51118
2014,56484
2015,54619
2016,46710
2017,29065
