Year,Visitors
1966,411300
1967,521200
1968,574500
1969,973100
1970,1089200
1971,1347700
1972,1123790
1973,1231500
1974,1307900
1975,1466700
1976,1620200
1977,1785200
1978,1919989
1979,1489135
1980,1408810
1981,1322449
1982,1344582
1983,1424751
1984,2032238
1985,1991615
1986,2053399
1987,2126790
1988,2241850
1989,2204407
1990,2369083
1991,2396904
1992,2579949
1993,2561234
1994,2466532
1995,2208369
1996,2272398
1997,2505547
1998,2477409
1999,2300631
2000,2325336
2001,2222762
2002,2395693
2003,2224882
2004,1960055
2005,1988585
2006,2065083
2007,2206294
2008,2248203
2009,2170646
2010,2067271
2011,2129116
2012,2412663
2013,2641808
2014,2433944
2015,2501106
2016,2438442
2017,2456669
