Year,Visitors
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1952,62196
1953,32042
1954,36400
1955,46800
1956,58000
1957,62100
1958,127000
1959,129500
1960,169700
1961,176000
1962,177700
1963,210700
1964,211400
1966,267300
1967,281400
1968,301700
1969,334100
1970,342700
1971,424500
1972,458970
1973,461000
1974,353600
1975,502500
1976,415200
1977,510700
1978,521012
1979,499209
1980,404358
1981,467161
1982,439724
1983,419793
1984,406832
1985,431922
1986,449660
1987,418145
1988,358823
1989,305127
1990,290457
1991,290726
1992,303909
1993,256612
1994,232766
1995,239320
1996,239369
1997,223655
1998,162176
1999,145993
2000,175581
2001,217721
2002,248577
2003,212180
2004,220044
2005,232213
2006,209312
2007,295853
2008,345361
2009,368365
2010,386521
2011,379535
2012,280325
2013,309298
2014,315072
2015,312109
2016,344435
2017,360540
