Year,Visitors
1973,391700
1974,241900
1975,339600
1976,356900
1977,446600
1978,491985
1979,409436
1980,372212
1981,335441
1982,345920
1983,347840
1984,383120
1985,394844
1986,432400
1987,415580
1988,392537
1989,414380
1990,392366
1991,401540
1992,434110
1993,424819
1994,454457
1995,436654
1996,441828
1997,478023
1998,492210
1999,435810
2000,419518
2001,402071
2002,377125
2003,596961
2004,819221
2005,476237
2006,485145
2007,489785
2008,414667
2009,397665
2010,419590
2011,426224
2012,442353
2013,363282
2014,401808
2015,437286
2016,421027
2017,505735
