Year,Visitors
1923,142
1924,115
1925,250
1926,300
1927,300
1928,200
1929,450
1930,325
1931,350
1932,325
1933,385
1934,390
1935,430
1936,550
1937,300
1938,222
1939,175
1940,215
1941,347
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1965,12400
1966,20500
1967,22000
1968,28000
1969,36400
1970,40000
1971,41800
1972,72678
1973,56100
1974,55100
1975,65200
1976,81900
1977,87300
1978,95530
1979,97066
1980,113816
1981,114555
1982,172126
1983,161551
1984,177971
1985,177038
1986,283597
1987,210708
1988,238307
1989,238307
1990,255420
1991,258346
1992,256158
1993,211254
1994,298651
1995,346151
1996,325562
1997,179791
1998,195916
1999,234550
2000,197614
2001,189750
2002,167736
2003,98865
2004,73675
2005,81206
2006,87642
2007,81607
2008,95567
2009,113460
2010,104501
2011,92311
2012,75214
2013,54773
2014,62910
2015,77270
2016,86369
2017,108418
