Year,Visitors
1971,34500
1972,104304
1973,210500
1974,297400
1975,368200
1976,421700
1977,477900
1978,448012
1979,413917
1980,471710
1981,549461
1982,467126
1983,473711
1984,467155
1985,505791
1986,567849
1987,610897
1988,677135
1989,654115
1990,348458
1991,366280
1992,387781
1993,421027
1994,475033
1995,552464
1996,426938
1997,382488
1998,383188
1999,369726
2000,383253
2001,388352
2002,404789
2003,408126
2004,392029
2005,394144
2006,383780
2007,385171
2008,396899
2009,444426
2010,418820
2011,380167
2012,352517
2013,393364
2014,429166
2015,527143
2016,536297
2017,445000
