Year,Visitors
1941,50082
1942,0
1943,0
1944,11049
1945,14060
1946,22750
1947,24525
1948,30400
1949,37964
1950,41196
1951,49184
1952,52939
1953,64571
1954,64100
1955,68900
1956,73700
1957,61200
1958,65300
1959,107200
1960,183800
1961,225300
1962,240100
1963,311800
1964,334200
1965,382900
1966,386900
1967,315300
1968,430700
1969,366900
1970,424000
1971,481300
1972,474947
1973,405600
1974,288700
1975,295600
1976,323700
1977,329100
1978,286060
1979,265793
1980,255736
1981,284577
1982,300170
1983,312786
1984,304487
1985,305667
1986,302470
1987,328854
1988,341942
1989,366848
1990,428667
1991,475786
1992,473096
1993,92839
1994,82827
1995,85371
1996,77807
1997,77707
1998,82187
1999,87957
2000,90422
2001,108244
2002,106397
2003,96014
2004,84876
2005,68438
2006,141151
2007,132578
2008,120823
2009,134634
2010,130415
2011,139376
2012,156952
2013,151240
2014,179552
2015,184175
2016,208969
2017,224014
