Year,Visitors
1973,559000
1974,756900
1975,633200
1976,698800
1977,721300
1978,862883
1979,1156593
1980,1059794
1981,917310
1982,1764535
1983,2360791
1984,1492638
1985,1891539
1986,2188249
1987,1724665
1988,1564453
1989,2049651
1990,2204125
1991,2155770
1992,1971419
1993,2146546
1994,2332045
1995,2049141
1996,1873822
1997,2001085
1998,2015825
1999,1998719
2000,2039559
2001,2185813
2002,2075687
2003,2036731
2004,2115516
2005,2132088
2006,2181863
2007,2061366
2008,2076466
2009,2076500
2010,1883457
2011,2050490
2012,2003385
2013,1968995
2014,2437948
2015,2443772
2016,2478735
2017,2483788
