Year,Visitors
1915,31000
1916,51000
1917,117186
1918,101497
1919,169492
1920,240966
1921,273737
1922,219164
1923,218000
1924,224211
1925,233912
1926,225027
1927,229862
1928,235057
1929,274408
1930,255874
1931,265663
1932,282980
1933,291934
1934,365392
1935,367568
1936,550496
1937,651899
1938,659802
1939,609029
1940,627847
1941,681845
1942,383670
1943,124353
1944,211953
1945,356793
1946,804588
1947,923065
1948,1023262
1949,1148216
1950,1275160
1951,1167093
1952,1364503
1953,1420152
1954,1425600
1955,1454000
1956,1587400
1957,1508200
1958,1478200
1959,1459600
1960,1532500
1961,1538000
1962,1773800
1963,1855400
1964,1885900
1965,1619800
1966,1865600
1967,1915200
1968,2187600
1969,2217200
1970,2357900
1971,2449900
1972,2513420
1973,2507600
1974,2489300
1975,2842200
1976,2727900
1977,2882100
1978,3024868
1979,2568530
1980,2641937
1981,2911242
1982,2564116
1983,2599006
1984,2231448
1985,2248854
1986,2408234
1987,2531864
1988,2544211
1989,2502915
1990,2647323
1991,2751781
1992,2788868
1993,2780342
1994,2968450
1995,2878169
1996,2923755
1997,2965354
1998,3035422
1999,3186323
2000,3185392
2001,3139685
2002,2988475
2003,3067256
2004,2781899
2005,2798368
2006,2743676
2007,2895383
2008,2757390
2009,2822325
2010,2955821
2011,3176941
2012,3229617
2013,2991141
2014,3434751
2015,4155916
2016,4517585
2017,4437215
