Year,Visitors
1962,9200
1963,44900
1964,19000
1965,14800
1966,16500
1967,34200
1968,21600
1969,17000
1970,17900
1971,17500
1972,20682
1973,23900
1974,21200
1975,26000
1976,27000
1977,21600
1978,19596
1979,18526
1980,22928
1981,21290
1982,21780
1983,22136
1984,22675
1985,21561
1986,23388
1987,24959
1988,25161
1989,23693
1990,23553
1991,20783
1992,27309
1993,30020
1994,32923
1995,35739
1996,26881
1997,27380
1998,26353
1999,27289
2000,23465
2001,20449
2002,27912
2003,22892
2004,22350
2005,23496
2006,24851
2007,49164
2008,36375
2009,24087
2010,23374
2011,20717
2012,20954
2013,20456
2014,18530
2015,19430
2016,24649
2017,24377
