Year,Visitors
1973,190000
1974,190000
1975,190900
1976,220900
1977,198200
1978,203130
1979,391683
1980,354173
1981,355962
1982,445183
1983,440016
1984,462922
1985,439033
1986,438772
1987,625549
1988,529414
1989,553779
1990,489274
1991,468790
1992,500960
1993,373518
1994,424835
1995,458525
1996,422653
1997,423622
1998,452748
1999,328506
2000,369736
2001,257903
2002,279060
2003,282838
2004,313904
2005,521695
2006,506841
2007,519330
2008,523595
2009,564326
2010,188400
2011,273729
2012,221028
2013,342942
2014,671582
2015,623122
2016,708258
2017,772475
