Year,Visitors
1968,6200
1969,2800
1970,5100
1971,11600
1972,16848
1973,13300
1974,12400
1975,15200
1976,13600
1977,11500
1978,24200
1979,31800
1980,39064
1981,39675
1982,38002
1983,38682
1984,27080
1985,31880
1986,35446
1987,36227
1988,32974
1989,44881
1990,35955
1991,39790
1992,35773
1993,33482
1994,34560
1995,34773
1996,37498
1997,35369
1998,36303
1999,29031
2000,37030
2001,37550
2002,34239
2003,30907
2004,30725
2005,26943
2006,25858
2007,29091
2008,29819
2009,34558
2010,30941
2011,32695
2012,33663
2013,37837
2014,37785
2015,39242
2016,42377
2017,37556
